Column Name,Type
respondent_id,NA
vitamin_d,continuous
alt,continuous
albumin,continuous
alp,continuous
ast,continuous
bun,continuous
creatine_kinase,continuous
creatinine_serum,continuous
ggt,continuous
magnesium,continuous
phosphorus,continuous
potassium,continuous
sodium,continuous
calcium,continuous
total_protein,continuous
uric_acid,continuous
hscrp,continuous
hba1c,continuous
folate,continuous
ferritin,continuous
wbc,continuous
hemoglobin,continuous
hematocrit,continuous
cholesterol_total,continuous
triglycerides,continuous
ldl_cholesterol,continuous
hdl_cholesterol,continuous
ever_been_pregnant,binary
total_deliveries,continuous
num_rx_drugs,ordinal
work_status_last_week,ordinal
hours_worked_last_week,continuous
days_worked_per_week,continuous
still_have_asthma,binary
had_hay_fever_past_yr,binary
taking_anemia_treatment_past_3mo,binary
type_of_arthritis,categorical
told_have_liver_condition,binary
metal_objects_in_body,binary
told_weak_failing_kidneys,binary
urinary_leakage_frequency,ordinal
times_per_night_urinating,ordinal
self_rated_health,ordinal
has_routine_healthcare_place,ordinal
mental_health_professional_past_yr,binary
has_health_insurance,binary
told_have_diabetes,ordinal
takes_diabetes_pills,binary
dizziness_or_balance_problem_past_yr,binary
dizziness_duration,binary
dizziness_type,binary
dizziness_causes_fall,binary
has_balance_problem,binary
balance_problem_affects_daily_life,binary
seen_dr_for_balance,binary
cause_of_balance_problem,binary
salt_used_at_table,ordinal
salt_used_in_cooking,ordinal
on_special_diet,binary
ate_shellfish_past_30_days,binary
ate_fish_past_30_days,binary
difficulty_seeing,ordinal
difficulty_hearing,ordinal
difficulty_walking_climbing_steps,ordinal
difficulty_communicating,ordinal
difficulty_remembering_concentrating,ordinal
difficulty_using_hands_fingers,ordinal
freq_worried_nervous_anxious,ordinal
level_worried_nervous_anxious,ordinal
gender,binary
age_years,continuous
race_ethnicity,categorical
exam_season,binary
marital_status,categorical
pregnancy_status_exam,ordinal
income_poverty_ratio,continuous
vertigo_past_12mo,binary
blurring_vision_past_12mo,binary
unsteadiness_past_12mo,binary
lightheadedness_past_12mo,binary
episodes_with_nausea_vomiting,binary
episodes_with_migraine_headache,binary
balance_prevented_usual_activities,binary
falls_past_12_months,ordinal
fall_injury_past_12_months,binary
taking_bp_medication,binary
taking_cholesterol_medication,binary
smoked_tobacco_past_5_days,binary
used_e_cigarette_past_5_days,binary
used_smokeless_tobacco_past_5_days,binary
food_security_category,ordinal
num_smokers_in_household,ordinal
current_smoker_status,ordinal
avg_cigarettes_per_day,continuous
sedentary_time_per_day,continuous
oral_health,ordinal
took_dietary_supplements_past_30_days,binary
took_nonprescription_antacids,binary
freq_stay_in_shade,ordinal
freq_wear_long_sleeves,ordinal
freq_use_sunscreen,ordinal
hearing_condition,ordinal
days_4_or_more_drinks,ordinal
days_8_or_more_drinks,ordinal
bmi,continuous
taking_folic_acid,continuous
taking_vitamin_b12,continuous
taking_vitamin_d,continuous
taking_calcium,continuous
taking_phosphorus,continuous
taking_magnesium,continuous
taking_iron,continuous
taking_potassium,continuous
kcal,continuous
protein,continuous
fat,continuous
carbs,continuous
chol_diet,continuous
sug_diet,continuous
caff,continuous
h2o,continuous
fiber,continuous
sat_fat,continuous
mono_fat,continuous
poly_fat,continuous
sodium_diet,continuous
bp_sys,continuous
bp_di,continuous
pulse,continuous
mod_pa_min_per_wk,continuous
vig_pa_min_per_wk,continuous
total_pa_mets_per_wk,continuous
meets_pa_guidelines,binary
drinks_per_week,continuous
avg_sleep_hrs,continuous
phq8_score,continuous
taking_aspirin,binary
romberg_avg_time,continuous
map,continuous
carbs_pct,continuous
fat_pct,continuous
protein_pct,continuous
fiber_per_1000kcal,continuous
